Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,14,46,T:System.Windows.DependencyProperty,,,,,"ClickProperty = DependencyProperty.Register(                  ""Click"", typeof(RoutedEventHandler), typeof(IconButton))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,11,8,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = this;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,8,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public IconButton()      {          InitializeComponent();          DataContext = this;      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,11,8,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = this;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,8,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public IconButton()      {          InitializeComponent();          DataContext = this;      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\IconButton.g.i.cs,43,97,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,6,34,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,152,12,T:System.Windows.Controls.CheckBox,,,,,this.allowMultiplesCheckBox = ((System.Windows.Controls.CheckBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,149,12,T:System.Windows.Controls.CheckBox,,,,,this.excludeLookAlikeCheckBox = ((System.Windows.Controls.CheckBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,146,12,T:System.Windows.Controls.TextBox,,,,,this.excludeCharactersTextBox = ((System.Windows.Controls.TextBox)(target));
